kubectl-windows-amd64,https://dl.k8s.io/v1.30.1/bin/windows/amd64/kubectl.exe,2,raw,
kubectl-windows-arm64,https://dl.k8s.io/v1.30.1/bin/windows/arm64/kubectl.exe,2,raw,
kubectl-windows-386,https://dl.k8s.io/v1.30.1/bin/windows/386/kubectl.exe,2,raw,
kubectl-linux-amd64,https://dl.k8s.io/v1.30.1/bin/linux/amd64/kubectl,2,raw,
kubectl-linux-arm64,https://dl.k8s.io/v1.30.1/bin/linux/arm64/kubectl,2,raw,
kubectl-linux-386,https://dl.k8s.io/v1.30.1/bin/linux/386/kubectl,2,raw,
kubectl-darwin-amd64,https://dl.k8s.io/v1.30.1/bin/darwin/amd64/kubectl,2,raw,
kubectl-darwin-arm64,https://dl.k8s.io/v1.30.1/bin/darwin/arm64/kubectl,2,raw,
kube-proxy-amd64,https://dl.k8s.io/v1.30.1/bin/linux/amd64/kube-proxy,2,raw,
kube-proxy-arm64,https://dl.k8s.io/v1.30.1/bin/linux/arm64/kube-proxy,2,raw,
kube-apiserver-amd64,https://dl.k8s.io/v1.30.1/bin/linux/amd64/kube-apiserver,2,raw,
kube-apiserver-arm64,https://dl.k8s.io/v1.30.1/bin/linux/arm64/kube-apiserver,2,raw,
